id,quote,source_url,platform,date,stars,reviewer,jtbd_signal,frustration,persona_hint,language,notes
11,"I have been buying from Zalando for many years and never had any real issues other than being sent the wrong sizes from time to time... Until recently.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-06 (11 months ago at fetch),,Helen,long-term-loyalty,wrong-size-recurring,outfit-seeker-or-single-item,en,date relative
12,"Esperienza NEGATIVA. Nella scatola inviata non erano presenti 2 articoli (PAGATI) e nemmeno la documentazione per effettuare il reso.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-05 (1 year ago at fetch),,Ivan Plachesi,fulfillment,missing-items-in-box,single-item-shopper,it,Italian; translation: NEGATIVE experience. 2 items (PAID) missing from box and no return documentation
13,"After years of buying with them, I finished my contract with them with a huge disappointment They handeled a devolution wrong, and they charged me one item that I returned.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-05 (1 year ago at fetch),,Anonymous,returns-flow,returns-billing-error,inspiration-browser,en,"years of buying" = long-term customer who churned
14,"I have been ordering from zalando for last 3 years. Since 2023 mid, the orders are returned before delivering to me. Reason for the return: They could not locate the delivery address.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-05 (1 year ago at fetch),,Anonymous,delivery-reliability,address-not-located,outfit-seeker,en,
15,"Please, this company has liars and scammers in customer service. Save nerves, time and money and buy at amazon. This company is an ugly ugly joke.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2025-05 (1 year ago at fetch),,Anonymous,switching-cost,customer-service-failure,bargain-hunter,en,explicit Amazon switch threat
16,"Orders Sent payment nothing was delivered, they said it had been absolutely terrible customer service I have waited over 3 months.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2024-05 (2 years ago at fetch),,Anonymous,delivery,non-delivery,outfit-seeker-or-single-item,en,
17,"Firstly was able to use PayPal then all of a sudden this option was not available so contacted them to ask why but they said it wasn't anything to do with them.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2024-05 (2 years ago at fetch),,C,checkout-options,payment-method-removed,outfit-seeker-or-single-item,en,
18,"Delivery times are not at all what is promised when you are ordering. It would be fairer not to promise delivery in 1-3 days when its actually more than one week.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2024-05 (2 years ago at fetch),,Anonymous,delivery-expectation,delivery-mismatch,bargain-hunter,en,
19,"I spoke with support, they did not deliver the goods they promised to deliver on time. The operator always closes the chat himself after his answer. Worst experience ever.",https://www.reviews.io/company-reviews/store/zalando-com,reviews.io,~2024-05 (2 years ago at fetch),,Yevhene,support-interaction,chat-closed-prematurely,outfit-seeker-or-single-item,en,
20,"I feel overwhelmed by choice while exploring Zalando.",https://medium.com/zalando-design/how-we-redesigned-online-fashion-browsing-7362bf5685d1,Zalando Design (Medium) — published user research,~2020,,research participant (anonymized in source),browse-without-clear-intent,choice-overload,inspiration-browser,en,Zalando's own published user research; key Inspiration Browser quote
21,"Sometimes I don't know the word for what I am looking for and then it is perfect to just see it and be able to click on it.",https://medium.com/zalando-design/how-we-redesigned-online-fashion-browsing-7362bf5685d1,Zalando Design (Medium) — published post-launch user feedback,~2020,,user (anonymized in source),visual-discovery,cant-articulate-search-query,inspiration-browser,en,Zalando's own published research; visual-search use case
22,"Seit dem Update sind, meiner Meinung nach, viele Funktionen so viel komplizierter geworden.",https://apps.apple.com/de/app/zalando-online-fashion-store/id585629514,App Store DE,2021-01-08,1,Marie LB,app-usability,update-broke-features,inspiration-browser,de,Translation: Since the update many functions have become so much more complicated
23,"First time ordering off the website, was not disappointed at all, order came within a few days which is fab considering the circumstances with Covid at the minute!",https://www.smartcustomer.com/reviews/zalando.com,smartcustomer.com (was sitejabber redirect),2020-08-14,,Angustias B.,first-time-order,none-pleasantly-surprised,outfit-seeker-or-single-item,en,Pandemic context; first-time shopper success story
24,"My package has not received but website show delivered I donot recommend this site to anyone its a fruad website waste of time and mony",https://zalando.pissedconsumer.com/review.html,PissedConsumer,2026-05-20,,Surinder K Ugo,delivery-tracking,not-received-marked-delivered,outfit-seeker-or-single-item,en,Location: Tossa De Mar Spain
25,"The order that made in December and which the sum stand it 109,92 Euro and because an items.wjich I order two was sent",https://zalando.pissedconsumer.com/review.html,PissedConsumer,2026-04-08,,Sakeenah Irz,partial-order,partial-fulfillment,single-item-shopper,en,Location: Korntal Baden-Wurttemberg DE
26,"I tried to buy the product and paid for it with a credit card, but the order was not completed and my money was not returned.",https://zalando.pissedconsumer.com/review.html,PissedConsumer,2026-02-28,3,Sabina H Ihd,checkout-failure,payment-taken-no-order,single-item-shopper,en,Location: Gjakova Kosovo
27,"Hello, I recently ordered a £60 watch from your company. On the 18th of December, I received the incorrect order of Chelsea boots instead of my watch.",https://zalando.pissedconsumer.com/review.html,PissedConsumer,2025-12-18,,Michael M Lmr,wrong-item,received-completely-different-product,single-item-shopper,en,Location: Slough UK; vivid wrong-item: watch → Chelsea boots
28,"I made an order twice and I didnt get any goods. Twice my money has been dictucted. Its 80 euros in total and its past 2 months now",https://zalando.pissedconsumer.com/review.html,PissedConsumer,2025-08-06,1,Shareka Uwa,delivery,money-taken-no-goods,outfit-seeker-or-single-item,en,
29,"J'ai commandé un article mais l'enseigne s'est trompée et m'a envoyé un autre produit à la place.",https://fr.custplace.com/zalando,custplace.com,~2026-04 (3 weeks ago at fetch),1,Arbouche,wrong-item,received-different-product,single-item-shopper,fr,French; Translation: I ordered an item but the store made a mistake and sent me a different product instead
30,"Je commande un jean Bershka pour mon fils qui est très grand, en 46, je le reçois en 44",https://fr.custplace.com/zalando,custplace.com,~2026-04 (1 month ago at fetch),1,Celia,wrong-size,received-smaller-size,single-item-shopper,fr,French; jeans context — directly relevant to case-study reference category
31,"3 commandes successives du même jean et ...3 retours pour mauvais article livré",https://fr.custplace.com/zalando,custplace.com,~2026-04 (1 month ago at fetch),1,Yann,wrong-item-recurring,three-strikes-same-jean,single-item-shopper,fr,French; 3 consecutive wrong-item orders on the same jean - strong tagging-accuracy signal
32,"Une commande est passée à mon insu en utilisant un bon cadeau.",https://fr.custplace.com/zalando,custplace.com,~2026-03 (2 months ago at fetch),1,Marra,security,order-placed-without-knowledge,outfit-seeker-or-single-item,fr,French; gift voucher used without consent
33,"J'ai commandé par 2 fois un article de vêtement que j'ai dû à chaque fois retourner.",https://fr.custplace.com/zalando,custplace.com,~2026-03 (2 months ago at fetch),1,Careno,returns-recurring,return-twice-same-item,single-item-shopper,fr,French; two-attempt return pattern
34,"Commande retournée avec n de suivi prouvant la réception de mon colis",https://fr.custplace.com/zalando,custplace.com,~2026-03 (2 months ago at fetch),1,Nath,returns-tracking,return-not-credited,outfit-seeker-or-single-item,fr,French; tracking proves receipt but Zalando didn't credit
35,"Je viens de commander une paire de tennis en soldes qui est arrivée dans un état pitoyable",https://fr.custplace.com/zalando,custplace.com,~2026-02 (3 months ago at fetch),1,Villejoubert,quality,arrived-pitiful-state-sale,bargain-hunter,fr,French; SALE context (en soldes) - bargain hunter signal
36,"Une première commande passée pendant le Black Friday a été perdue par Zalando",https://fr.custplace.com/zalando,custplace.com,~2026-01 (4 months ago at fetch),1,E NDLLC,delivery-loss,black-friday-order-lost,bargain-hunter,fr,French; Black Friday context - bargain hunter signal
37,"J'ai commandée un sac tory burch qui coûtait 695€, j'ai reçu par erreur un sac qui ne vaut rien",https://fr.custplace.com/zalando,custplace.com,~2025-12 (5 months ago at fetch),1,Ange,wrong-item-luxury,695eur-bag-replaced-with-worthless,outfit-seeker-or-single-item,fr,French; luxury swap - Tory Burch €695 bag replaced with worthless bag
38,"Les colis arrivent en retard ou ne sont même pas envoyés.",https://fr.custplace.com/zalando,custplace.com,~2025-12 (5 months ago at fetch),1,Summer Time,delivery,packages-late-or-never-sent,outfit-seeker-or-single-item,fr,French translation: Packages arrive late or are not even sent
39,"J'ai retourné ma commande parce que les articles reçus n'étaient pas de la bonne couleur.",https://fr.custplace.com/zalando,custplace.com,~2025-10 (7 months ago at fetch),1,lechjam,wrong-color,received-wrong-color,single-item-shopper,fr,French; COLOR MISMATCH - directly evidences case-study Problem #1 (tagging accuracy)
40,"Cela fait 2 mois qu'ils retiennent mon argent, sans me donner aucune raison",https://fr.custplace.com/zalando,custplace.com,~2025-10 (7 months ago at fetch),1,Lunari,refund-delay,money-held-no-reason-2-months,outfit-seeker-or-single-item,fr,French; refund withheld 2 months
41,"J'ai commandé une veste Hugo Boss j'ai pris mes mensurations de mon fils",https://fr.custplace.com/zalando,custplace.com,~2025-09 (8 months ago at fetch),2,Bourgeois Laëtitia,sizing,measured-son-still-wrong,outfit-seeker-or-single-item,fr,French; took measurements still received wrong size
42,"J'ai reçue un colis endommagé premier réflexe je prend à photo le colis",https://fr.custplace.com/zalando,custplace.com,~2025-09 (8 months ago at fetch),1,Hassani,delivery-damage,damaged-package-on-arrival,outfit-seeker-or-single-item,fr,French; photographed damaged package
43,"J'ai retrouvé le colis de ma commande dans mon jardin. Il m'a été jeté au dessus du portail.",https://fr.custplace.com/zalando,custplace.com,~2025-07 (10 months ago at fetch),1,Fa,delivery-handling,package-thrown-over-gate,outfit-seeker-or-single-item,fr,French; package thrown over garden gate
44,"Wat een beschamend slecht bedrijf is Zalando geworden. Ruim een maand geleden heb ik een tas besteld van €495",https://www.reviews.nl/zalando,reviews.nl,2026-05-21,,S.Gosrawi,refund-delay,495eur-bag-no-refund,outfit-seeker-or-single-item,nl,Dutch; Translation: What a shamefully bad company Zalando has become. Over a month ago I ordered a €495 bag
45,"Meerdere keren worden retour verwerkingen niet goed verwerkt waardoor je betaling herinneringen krijgt",https://www.reviews.nl/zalando,reviews.nl,2026-05-05,,Hannema,returns-processing,returns-not-processed,outfit-seeker-or-single-item,nl,Dutch; returns processing failures leading to payment reminders
46,"Prima producten maar de service is bar en bar slecht!! Ik heb een bestelling gedaan en niks ontvangen",https://www.reviews.nl/zalando,reviews.nl,2026-05-04,,G Dos Reis,delivery,order-no-delivery,outfit-seeker-or-single-item,nl,Dutch; products fine but service terrible - nothing received
47,"Meerdere malen contact via chatbot en e-mail. En ondanks retour bewijzen, lukt t niet om de retour te verwerken",https://www.reviews.nl/zalando,reviews.nl,2026-04-24,,Laila,returns-support,return-evidence-ignored,outfit-seeker-or-single-item,nl,Dutch; multiple chatbot+email contacts, return not processed despite evidence
48,"Ik kan opeens geen bestelling meer thuis laten leven, maar wel een afhaalpunt uit kiezen",https://www.reviews.nl/zalando,reviews.nl,2026-04-14,,Nes,delivery-options,home-delivery-suddenly-unavailable,outfit-seeker-or-single-item,nl,Dutch; suddenly cant choose home delivery only pickup point
49,"3 artikelen besteld, maar 2 artikelen ontvangen. Klantenservice direct op de hoogte gesteld",https://www.reviews.nl/zalando,reviews.nl,2026-03-17,,Mara,partial-order,missing-item,outfit-seeker-or-single-item,nl,Dutch; 3 ordered, 2 received
50,"Ik heb een bestelling betwist omdat het pakket nooit bij mij is afgeleverd. Vanaf het begin heb ik dit gemeld",https://www.reviews.nl/zalando,reviews.nl,2026-03-16,,Raymond,delivery-dispute,disputed-not-delivered,outfit-seeker-or-single-item,nl,Dutch; disputed never-delivered package
51,"Heb een cadeaubon om laten zetten, maar kon er geen beauty product van kopen",https://www.reviews.nl/zalando,reviews.nl,2026-03-09,,Niek,gift-voucher,beauty-restriction,bargain-hunter,nl,Dutch; gift voucher converted but cant buy beauty product
52,"Nike schoenen besteld. Kwaliteit was al twijfelachtig. Schoenen kwamen in een bruine doos",https://www.reviews.nl/zalando,reviews.nl,2026-02-22,,Michael,quality-authenticity,nike-suspect-brown-box,single-item-shopper,nl,Dutch; Nike shoes - quality already doubtful came in brown box (authenticity concern)
53,"Bestel een zandkleurige hoodie. Krijg ook, in de bevestiging de hoodie in die kleur te zien!",https://www.reviews.nl/zalando,reviews.nl,2026-01-28,,Nico de Boer,wrong-color,sand-color-hoodie-confirmed-still-wrong,single-item-shopper,nl,Dutch; ★★★ KEY QUOTE — sand-colored hoodie confirmed in confirmation page yet wrong color received. Directly evidences Problem #1 tagging accuracy
54,"Bij zalando https://www.zalando.nl/elara/cargo broek 42,95 te koop. Dezelfde advertentie en broek bij Amazon",https://www.reviews.nl/zalando,reviews.nl,2026-01-25,,Ann,price-comparison,price-mismatch-amazon,bargain-hunter,nl,Dutch; price comparison Zalando vs Amazon
55,"Verkeerde producten geleverd door zalando (totaal andere bestelling gekregen)",https://www.reviews.nl/zalando,reviews.nl,2026-01-20,,L,wrong-item,completely-different-order,single-item-shopper,nl,Dutch; completely different order received
56,"Ik ben al ruim 15 jaar klant bij Zalando en heb in al die jaren nooit problemen gehad",https://www.reviews.nl/zalando,reviews.nl,2026-01-07,,SG Verkaik,long-term-loyalty,none,inspiration-browser,nl,Dutch; ★★★ KEY QUOTE — 15-year customer never had problems (positive long-term loyalty signal)
57,"Zeer teleurgesteld over de service. Ik had een bon van €200 volledig verzilverd in de Zalando-app",https://www.reviews.nl/zalando,reviews.nl,2025-12-26,,Auryn De Meyer,gift-voucher,200eur-voucher-app-issue,outfit-seeker-or-single-item,nl,Dutch; €200 voucher fully redeemed in app
58,"Zalando beweert dat ik een lege doos retour heb gestuurd en laat mij het artikel betalen",https://www.reviews.nl/zalando,reviews.nl,2025-12-24,,Kay Beosa,returns-dispute,empty-box-claim,outfit-seeker-or-single-item,nl,Dutch; Zalando claims empty box returned forcing customer to pay
59,"Een verkeerd artikel geleverd gekregen, deze netjes in overleg geretourneerd",https://www.reviews.nl/zalando,reviews.nl,2025-12-20,,Judith Ratering,wrong-item,wrong-item-returned-fine,single-item-shopper,nl,Dutch; wrong item delivered, returned in agreement
60,"Artikel niet geleverd, DHL zegt van wel, ik was niet thuis. Ze blijven erbij: ik moet 100 euro betalen",https://www.reviews.nl/zalando,reviews.nl,2025-12-20,,Ester,delivery-dispute,not-delivered-must-pay-100eur,outfit-seeker-or-single-item,nl,Dutch; DHL says delivered but customer wasnt home - forced to pay €100
61,"Levering helemaal ruk. Ik heb nu 3x iets besteld en alle keren levertijd ruim een week",https://www.reviews.nl/zalando,reviews.nl,2025-12-04,,Zweitze Rooske,delivery-delay,3-orders-all-over-week,outfit-seeker-or-single-item,nl,Dutch; 3 orders all >1 week delivery time
62,"In de week van Black Friday een bestelling geplaatst (26/11). De bestelling is verdeeld in 2 delen",https://www.reviews.nl/zalando,reviews.nl,2025-12-04,,Kemal,bargain-shopping,black-friday-split-order,bargain-hunter,nl,Dutch; Black Friday order split in 2 parts
63,"Ik wilde milieubewust zijn dus stuurde ik twee paar sneakers en één mascara terug",https://www.reviews.nl/zalando,reviews.nl,2025-11-28,,Marie Heijmans,sustainability-returns,environmental-return-friction,inspiration-browser,nl,Dutch; wanted to be environmentally conscious returning 2 sneakers + 1 mascara
64,"Ik moet betalen voor artikelen die niet geleverd zijn. Bij de levering heb ik direct aangegeven",https://www.reviews.nl/zalando,reviews.nl,2025-11-25,,Kim,delivery-dispute,charged-for-undelivered,outfit-seeker-or-single-item,nl,Dutch; must pay for non-delivered items
65,"Ontzettend slechte klantenservice! Doordat mijn vader in kritieke toestand was opgenomen op de IC",https://www.reviews.nl/zalando,reviews.nl,2025-11-12,,Ellen Kramer,customer-service-empathy,family-emergency-no-help,outfit-seeker-or-single-item,nl,Dutch; customer service unresponsive during father in ICU
66,"Wat is dat kansloos geworden. Kijken de mensen van Zalando er zelf wel eens naar",https://www.reviews.nl/zalando,reviews.nl,2025-11-12,,Kees,product-quality,low-quality-photos,inspiration-browser,nl,Dutch; rhetorical — do Zalando people themselves look at this (implying poor product presentation/quality)
67,"Vreselijke klantenservice! Meermaals contact met jullie opgenomen omdat 1 artikel uit mijn retourpakket",https://www.reviews.nl/zalando,reviews.nl,2025-11-12,,JK,customer-service,return-1-item-missing,single-item-shopper,nl,Dutch; 1 item missing from return package, multiple contacts
68,"I.v.m. faillissement fabrikant konden artikelen niet geleverd worden; wel betaald aan Zalando",https://www.reviews.nl/zalando,reviews.nl,2025-11-04,,F. de Boer,fulfillment,manufacturer-bankruptcy-paid-zalando,outfit-seeker-or-single-item,nl,Dutch; couldnt be delivered due to manufacturer bankruptcy but paid to Zalando
69,"Zalando has not refund me my money",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-08-26,,Kingsley Amas Amas,refund-delay,no-refund,outfit-seeker-or-single-item,en,Location: Spain
70,"Beställningen har skickats tillbaka av PostNord. Jag har inte fått SMS om att jag kunde hämta paketet.",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-12-06,,Margareta Bratt,delivery-pickup,no-pickup-sms,outfit-seeker-or-single-item,sv,Swedish; Translation: Order sent back by PostNord. I didn't receive SMS that I could pick up package
71,"I ordered on 27.10.2025, but there is no shipping information yet. I wonder what the problem is.",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-10-31,,Lusiny S,shipping-tracking,no-shipping-info,outfit-seeker-or-single-item,en,Location: Germany
72,"I should have been refunded approximately 186...However, I only received a refund of 131.90",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-06-02,,Precious O Hwi,refund-amount,partial-refund-only,outfit-seeker-or-single-item,en,
73,"Obefintlig kundtjänst. Tappar bort betalningar via swish",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-08-27,1,Golden Jre,customer-service-payment,nonexistent-customer-service,outfit-seeker-or-single-item,sv,Swedish; Translation: Nonexistent customer service. Loses payments via Swish
74,"I have had over $600 taken from my account from your company...Do you feel good scamming a disabled lady",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-05-21,,Carry D Nsp,scam-allegation,600usd-disabled,outfit-seeker-or-single-item,en,US
75,"Pedí unos artículos x la cantidad de 97,98 y no m ha llegado",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-09-07,,Lashawna Avx,delivery,97eur-not-arrived,outfit-seeker-or-single-item,es,Spanish; Translation: I ordered articles for €97.98 and it hasn't arrived
76,"Was arranged for Evri to collect return item on 27th 8.00am - 20.00pm, they did not arrive!",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-08-28,5,Anonymous,returns-pickup,evri-pickup-failed,outfit-seeker-or-single-item,en,UK
77,"I ordered two pairs of shoes on the date 10/05/2025. I didn't get them till 22/07/2025.",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-07-22,1,Gurcharan S Zvw,delivery-delay,3-month-shipping,outfit-seeker-or-single-item,en,
78,"Het is in het Engels..dat wordt moeilijk als je ouder wordt.",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-08-08,,Cyncere Vqf,language-accessibility,english-interface-hard-when-older,inspiration-browser,nl,Dutch; Translation: It's in English.. that gets harder as you get older. NB: accessibility/localization signal
79,"On July the 7th of this year, I've placed an order for a tote bag...I've never received the bag.",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-07-21,,ANDREA N Qtr,delivery,tote-bag-not-received,outfit-seeker-or-single-item,en,
80,"I want to change my address to a new one. My order is going to the old address.",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-07-20,,Vida Y Vpa,profile-management,address-change-issue,outfit-seeker-or-single-item,en,
81,"Very good, quick answer, retribution immediately , very friendly and understanding",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-06-19,4,Sonja V Bmq,customer-service,positive-quick-resolution,inspiration-browser,en,positive review balancing the corpus
82,"Pieniądze za pierwszy przelew miały być zwrócone...ale nadal ich nie otrzymałam",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-03-18,,Bozena W Vca,refund-delay,not-received,outfit-seeker-or-single-item,pl,Polish; Translation: Money from first transfer was to be refunded but still not received. Location: Poland
83,"It's almost 2 months now but i haven't received my order,any update.",https://zalando.pissedconsumer.com/complaints/RT-P.html,PissedConsumer,2025-07-01,,Caroline S Ozu,delivery,2-month-no-order,outfit-seeker-or-single-item,en,
84,"Lieferung und normale Retoure ok. ABER sobald man ein Problem hat, läuft gefühlt alles gegen einen",https://www.trustedshops.de/bewertung/zalando-de,trustedshops.de,2026-02-22,1,Community-Mitglied,returns-friction,problem-resolution-broken,outfit-seeker-or-single-item,de,German; Translation: Delivery and normal return ok. But as soon as you have a problem everything feels against you
85,"Ständig falsche Verbuchung der Retouren...Pullover in XXL zurückgeschickt, die XL behalten.",https://www.trustedshops.de/bewertung/zalando-de,trustedshops.de,2026-01-06,,Andreas H.,returns-tracking,wrong-item-credited-on-return,single-item-shopper,de,German; Translation: Constantly wrong booking of returns - sweater in XXL sent back kept the XL
86,"Zalando schickt mir meine Kleider im Wert von 90 € nicht zurück!!! Ich habe schon vor über einem Monat",https://www.trustedshops.de/bewertung/zalando-de,trustedshops.de,~2026-05 (7 days ago at fetch),,Community-Mitglied,refund-delay,90eur-dresses-not-refunded,outfit-seeker-or-single-item,de,German; €90 of clothes not refunded, over a month wait
87,"Betrüger...eine Hose bestellt und aufgrund eines Qualitätsmangels zurückgeschickt.",https://www.trustedshops.de/bewertung/zalando-de,trustedshops.de,2026-02-12,,Community-Mitglied,quality-and-returns,quality-defect-on-return,single-item-shopper,de,German; Translation: Fraudsters - ordered pants and returned due to quality defect
88,"Rücksendungen werden teils falsch verbucht bzw. gar nicht.",https://www.trustedshops.de/bewertung/zalando-de,trustedshops.de,2026-05-06,,Community-Mitglied,returns-processing,returns-not-booked-correctly,outfit-seeker-or-single-item,de,German; Returns sometimes booked wrong or not at all
89,"Bisher wurde alles reibungslos geliefert. Allerdings retourniere ich prinzipiell sehr wenig.",https://www.trustedshops.de/bewertung/zalando-de,trustedshops.de,2026-01-31,,Community-Mitglied,delivery,none,inspiration-browser,de,German; Translation: So far everything delivered smoothly. However I return very little on principle. POSITIVE counter-evidence
90,"Ich habe zwei Jacken bestellt und beide ordnungsgemäß in EINEM Paket zurückgeschickt.",https://www.trustedshops.de/bewertung/zalando-de,trustedshops.de,2026-04-15,,Community-Mitglied,returns,multiple-items-one-package,outfit-seeker-or-single-item,de,German; Translation: I ordered two jackets and properly returned both in ONE package
91,"Das Paket kam beschädigt an und wurde laut Aufkleber vom Versanddienstleister neu verpackt.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-04-21,1,EI,delivery-damage,repackaged-by-carrier,outfit-seeker-or-single-item,de,German; Package arrived damaged and was repackaged by carrier
92,"Unvollständige Lieferung Zalando verweigert Haftung! Verbraucherschutz und Anwalt werden eingeschaltet.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-03-31,1,E.,fulfillment,incomplete-delivery-no-liability,outfit-seeker-or-single-item,de,German; Incomplete delivery - Zalando refuses liability - consumer protection and lawyer engaged
93,"Hatte vergessen eine Rechnung zu begleichen, Inkasso Brief kam wo ich den Betrag dann ausgeglichen habe.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-03-20,1,Nelke,billing,debt-collection-letter,outfit-seeker-or-single-item,de,German; Forgot to settle invoice, debt collection letter
94,"Mir war es nicht möglich, ein RücksendeLabel auszudrucken. Ich habe mehr als 3 Stunden damit verbracht.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-03-15,1,Günther,returns-process,3-hours-on-return-label,outfit-seeker-or-single-item,de,German; Couldnt print return label - spent over 3 hours
95,"Habe drei Artikel bestellt ein Artikel nur im Karton gewesen trotzdem soll ich alle bezahlen.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-03-03,1,R:J,fulfillment-billing,missing-item-billed-for-all,outfit-seeker-or-single-item,de,German; Ordered 3 items only 1 in box but charged for all
96,"Ein von Zalando versendetes Päckchen ist nie bei mir angekommen. Der Versandpartner bestätigte, dass das Paket an eine falsche Adresse geliefert wurde.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-02-09,1,Sandra,delivery,wrong-address-confirmed-by-carrier,outfit-seeker-or-single-item,de,German; Package never arrived - carrier confirmed wrong address delivery
97,"Muss meine retournierte Ware bezahlen, retour it im Lager eingegangen, aber Ware wurde nicht richtig eingetragen.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-01-29,1,mmemis86@gmail.com,returns,return-warehouse-not-logged,outfit-seeker-or-single-item,de,German; Must pay for returned item - arrived at warehouse but not properly recorded
98,"Zalando ein Kleid, welches ich retourniert habe, nicht erhalten...müsste den Artikel (~50€) bezahlen.",https://www.shopauskunft.de/review/www.zalando.de,shopauskunft.de,2026-01-20,1,Lena,returns,50eur-dress-not-received,outfit-seeker-or-single-item,de,German; Zalando didnt receive returned dress - must pay €50
